"","HHID","PIDLINK","mudah.bergaul","kesehatan","status.ekonomi","ketaatan","jenis.kelamin","usia","status.perkawinan","pekerjaan","pendidikan","daerah","use.internet","partisipasi.masy"
"13130","1420200","142020010","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",18,"Belum Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"13142","1420341","142034102","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Perempuan",19,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"13144","1420400","142040003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",23,"Kawin","Tidak","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"13157","1420600","142060005","Tidak Mudah Bergaul","Sehat","Rendah","Tidak taat","Laki-laki",23,"Belum Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"13191","1421331","142133102","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",27,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13217","1421800","142180004","Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13218","1421841","142180005","Mudah Bergaul","Sangat Sehat","Sedang","Sangat taat","Perempuan",23,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13219","1421800","142180007","Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",19,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13220","1421800","142180008","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",16,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13231","1422042","142200005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"13234","1422042","142204202","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",21,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13254","1422200","142220007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",20,"Belum Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"13258","1422241","142224102","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",22,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13272","1422500","142250004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",21,"Belum Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"13278","1422641","142260003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",24,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"13294","1422841","142280005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",28,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"13296","1422841","142280008","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13303","1422956","142290006","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",18,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13308","1422956","142294203","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"13312","1423051","142300003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",20,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"13320","1430242","143020007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",17,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"13329","1430541","143050005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",23,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13339","1430652","143060004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",17,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"13344","1430752","143070005","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Laki-laki",18,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"13349","1430800","143080007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",23,"Kawin","Tidak","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"13355","1430851","143084202","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Sangat taat","Perempuan",27,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"13362","1430941","143094104","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",27,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"13396","1431800","143180007","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",16,"Belum Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"13407","1431953","143190007","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",18,"Kawin","Tidak","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"13418","1432100","143210008","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",16,"Belum Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"13421","1432251","143220003","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Taat","Laki-laki",16,"Belum Kawin","Tidak","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"13426","1432331","143230004","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Laki-laki",29,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"13428","1432352","143230007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",19,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"13437","1432541","143250005","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",24,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"13439","1432500","143260003","Mudah Bergaul","Sangat Sehat","Rendah","Sangat taat","Laki-laki",18,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13441","1432600","143260006","Sangat Mudah Bergaul","Sangat Sehat","Rendah","Taat","Laki-laki",29,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"13445","1432751","143270004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",23,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13446","1432752","143270005","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Laki-laki",17,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"13453","1432951","143290006","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",23,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"13457","1433051","143300003","Sangat Mudah Bergaul","Sehat","Sedang","Tidak taat","Perempuan",17,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"13473","1440741","144070004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",19,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13479","1441100","144110003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",25,"Kawin","Tidak","Di bawah SMA","Desa","Menggunakan Internet","Ya"
"13516","1450251","145023103","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",30,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"13520","1450352","145030004","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",19,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"13524","1450441","145040003","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",22,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"13527","1450441","145044102","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",17,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"13532","1450542","145050006","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",18,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"13541","1450641","145064101","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",25,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"13547","1450800","145080004","Sangat Mudah Bergaul","Sangat Sehat","Rendah","Taat","Laki-laki",29,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"13548","1450852","145080006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",21,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"13558","1451042","145100005","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Perempuan",29,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"13561","1451000","145100008","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",17,"Belum Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"13570","1451153","145110007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",18,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"13574","1451141","145114102","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",28,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"13588","1451341","145130003","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"13593","1451400","145140004","Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",16,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"13595","1451451","145140007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",23,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"13600","1451552","145150006","Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",20,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"13608","1451600","145160010","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",17,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"13612","1451641","145164101","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"13636","1452251","145220004","Sangat Mudah Bergaul","Kurang Sehat","Tinggi","Taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"13644","1452351","145230004","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",21,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"13645","1452300","145230005","Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",18,"Belum Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"13653","1452453","145243102","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",26,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"13658","1452531","145250005","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",27,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"13674","1452851","145280005","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Perempuan",17,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"13676","1452851","145284106","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",23,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"13693","1460341","146030003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",26,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"13702","1460542","146050005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",26,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"13704","1460541","146050011","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",30,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"13707","1460542","146054201","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"13710","1460751","146070004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Perempuan",16,"Kawin","Tidak","Di bawah SMA","Kota","Menggunakan Internet","Tidak"
"13714","1460800","146080005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",22,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"13732","1461741","146174101","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",29,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"13735","1470211","147020004","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Perempuan",26,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"13736","1470211","147020005","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Perempuan",25,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"13744","1470351","147030006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"13745","1470352","147030007","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",20,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"13756","1470900","147090003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",29,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"13819","1481544","148150006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",23,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13845","1491000","149100004","Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",16,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"13864","1491951","149190004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",18,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"13869","1500241","150024101","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",24,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"13878","1500300","150030014","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"13886","1500743","150070006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",29,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"13910","1501641","150164101","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",24,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"13935","1520241","152020003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",27,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"13943","1520542","152050005","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Tidak taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"13950","1520911","152091102","Sangat Mudah Bergaul","Sangat Sehat","Rendah","Sangat taat","Perempuan",29,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"13951","1521041","152100004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",23,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Ya"
"13952","1521000","152100005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",17,"Belum Kawin","Tidak","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"13983","1521742","152170007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",29,"Kawin","Tidak","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"13993","1521931","152190004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"14001","1522041","152200004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"14006","1530131","153010004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"14007","1530151","153010005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",25,"Kawin","Tidak","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"14008","1530151","153010007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",28,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"14024","1530632","153060005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"14060","1531743","153170005","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",30,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"14066","1531743","153174302","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Sangat taat","Perempuan",25,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"14078","1540131","154010004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"14079","1540143","154010005","Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",29,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"14080","1540100","154010007","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Perempuan",19,"Kawin","Tidak","Di bawah SMA","Kota","Menggunakan Internet","Tidak"
"14086","1540144","154014402","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",22,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"14088","1540251","154020003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",23,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"14089","1540200","154020004","Tidak Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",17,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"14095","1540500","154050006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",16,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"14097","1540542","154054202","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"14113","1541244","154120008","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",28,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"14165","1552000","155200003","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Agak taat","Laki-laki",17,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"14174","1570142","157010008","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",26,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"14178","1570142","157014202","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Tidak","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"14189","1570600","157060006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",16,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"14194","1570741","157070003","Sangat Mudah Bergaul","Sehat","Tinggi","Agak taat","Perempuan",26,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"14214","1571011","157100013","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",27,"Belum Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"14229","1571155","157114102","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",26,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"14258","1580300","158030007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",16,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"14259","1580300","158030010","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",21,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"14307","1590151","159010003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",26,"Kawin","Tidak","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"14308","1590100","159010004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",20,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"14310","1590152","159010007","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"14311","1590100","159010010","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",18,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"14320","1590332","159030006","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Taat","Perempuan",29,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"14325","1590441","159044102","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"14329","1590500","159050004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",29,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"14330","1590500","159050005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",20,"Belum Kawin","Tidak","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"14331","1590531","159053102","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",29,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"14338","1590700","159070003","Mudah Bergaul","Sangat Sehat","Rendah","Taat","Perempuan",19,"Kawin","Tidak","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"14339","1590751","159070004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",18,"Belum Kawin","Ya","Di bawah SMA","Kota","Menggunakan Internet","Tidak"
"14345","1591051","159100007","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",29,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"14356","1591151","159110004","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Perempuan",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"14361","1591231","159120006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",19,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"14363","1591254","159120008","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"14366","1591300","159130003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",21,"Kawin","Tidak","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"14367","1591300","159130004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",17,"Belum Kawin","Tidak","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"14373","1591400","159140011","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",25,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"14389","1591900","159190005","Tidak Mudah Bergaul","Sangat Sehat","Sedang","Tidak taat","Laki-laki",17,"Belum Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"14399","1592052","159200014","Sangat Mudah Bergaul","Sangat Sehat","Tinggi","Taat","Laki-laki",29,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"14404","1592153","159210004","Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",28,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"14416","1592300","159230004","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",27,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"14437","1592751","159270003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"14450","1592951","159290005","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",27,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Ya"
"14451","1592900","159290006","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",17,"Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"14465","1600341","160030003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"14466","1600351","160030004","Sangat Mudah Bergaul","Sehat","Tinggi","Taat","Perempuan",20,"Kawin","Tidak","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"14479","1600552","160050006","Sangat Mudah Bergaul","Sehat","Sedang","Tidak taat","Laki-laki",25,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"14495","1600831","160083102","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Sangat taat","Perempuan",28,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"14507","1601141","160110003","Sangat Mudah Bergaul","Sehat","Tinggi","Sangat taat","Perempuan",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"14508","1601142","160110004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Perempuan",26,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
