"","HHID","PIDLINK","mudah.bergaul","kesehatan","status.ekonomi","ketaatan","jenis.kelamin","usia","status.perkawinan","pekerjaan","pendidikan","daerah","use.internet","partisipasi.masy"
"24098","2580400","258040007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",17,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24106","2580500","258050006","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",18,"Belum Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"24107","2580551","258050007","Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"24117","2580851","258080004","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"24122","2580842","258084202","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",22,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"24136","2581200","258120003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",25,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"24157","2581800","258180004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Laki-laki",24,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"24159","2581841","258184102","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",27,"Kawin","Tidak","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24163","2581900","258190004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",17,"Belum Kawin","Tidak","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"24167","2582051","258200003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",19,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"24169","2582000","258200005","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",16,"Belum Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"24175","2590151","259010005","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24193","2591651","259160002","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",23,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"24194","2591600","259160003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",21,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"24211","2600441","260044101","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",24,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24213","2600541","260050003","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",23,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"24221","2600752","260070007","Sangat Mudah Bergaul","Sehat","Sedang","Tidak taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24235","2601151","260110003","Sangat Mudah Bergaul","Sehat","Tinggi","Taat","Perempuan",17,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"24244","2601431","260140004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Sangat taat","Perempuan",26,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"24246","2601431","260143101","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",27,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"24271","2610651","261060004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",21,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"24284","2611500","261150004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",29,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"24296","2611700","261170004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"24297","2611741","261174101","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24300","2611800","261180005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",19,"Belum Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24314","2620451","262040006","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",18,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"24318","2620431","262043104","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"24330","2621041","262100003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24331","2621051","262100004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",21,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24333","2621041","262104102","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24335","2621141","262110003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",26,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"24340","2621400","262140003","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",26,"Belum Kawin","Ya","Di bawah SMA","Kota","Menggunakan Internet","Tidak"
"24341","2621431","262140004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",20,"Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"24345","2621500","262150006","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",22,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"24346","2621500","262150007","Sangat Mudah Bergaul","Sehat","Sedang","Tidak taat","Laki-laki",18,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"24347","2621500","262150009","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",24,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24349","2621600","262160002","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",27,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"24356","2621851","262180006","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",25,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"24360","2621900","262190002","Sangat Mudah Bergaul","Sangat Sehat","Rendah","Taat","Perempuan",29,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"24362","2621951","262190004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",17,"Belum Kawin","Ya","Di bawah SMA","Kota","Menggunakan Internet","Tidak"
"24364","2622000","262200001","Sangat Mudah Bergaul","Sehat","Rendah","Tidak taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"24372","2630252","263020004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",16,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24386","2630500","263050005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",17,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"24390","2630700","263070005","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"24417","2631500","263150004","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",27,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"24418","2631500","263150005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",27,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24420","2631541","263154102","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Tidak","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Ya"
"24429","2631731","263170004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",29,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"24439","2631800","263180005","Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",30,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24440","2631800","263180006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24445","2631931","263190003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",29,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"24446","2631900","263190004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",24,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"24447","2631900","263190005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",20,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24448","2631931","263193101","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24451","2632000","263200003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",24,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24452","2632000","263200005","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",20,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"24456","2632142","263214202","Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",29,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24458","2632331","263230003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",27,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"24465","2632400","263240004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Belum Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24466","2632441","263240005","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Taat","Perempuan",23,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24469","2632500","263250003","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",22,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"24470","2632531","263250004","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",29,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24476","2632600","263260003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24477","2632600","263260004","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Perempuan",21,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24502","2634211","263420005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",16,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"24506","2640400","264040003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",20,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"24507","2640400","264040004","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",18,"Belum Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"24512","2640551","264050007","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",25,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24521","2640700","264070004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24522","2640752","264070005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",23,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24523","2640700","264070006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",20,"Belum Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"24529","2640851","264080003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",16,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"24539","2641041","264100004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"24540","2641000","264100005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",22,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"24541","2641000","264100006","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",20,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24548","2641541","264150005","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Perempuan",28,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"24554","2641643","264160007","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Taat","Perempuan",25,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
